time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2,S_co2,S_nh4_ion
59,4.04472307423507,15.340592316190438,7.309076921335635,0.04518752695998263,0.045187529129466254,0.045187526149282946,0.04518753545632669,1.0,7.405402410420465e-20,-2221.1921669625904,0.047810057046515086,0.09822160256010953,0.004049839781757265,0.011729772698160062,0.06398622607553081,0.024406619605046986,0.013885165414256858,0.013885165737614152,0.013885164734085943,0.013885164734087163,0.013885164734085808,0.013885164734085468,0.013885164734085525,16.154024407522446,0.045187521913481306,0.050260701924936105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9010635186842508,6.608292287374306e-20,0.5596064881592004
60,4.015405954357133,15.396764727445644,7.255845992240339,0.04287679136731216,0.0428767934442795,0.04287679059133324,0.04287679950128763,1.0,6.88684373254863e-20,-2226.5701006936656,0.045488782471759796,0.0947988764703255,0.0037666533769789116,0.016981961156825175,0.0884993483990348,0.03572879412245704,0.012914240573570991,0.012914240879430388,0.012914239930086086,0.012914239930087218,0.012914239930085954,0.01291423993008563,0.012914239930085683,16.207456411753913,0.04287678653615747,0.04796266745097973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9010703830129099,6.145597924332605e-20,0.5596133257527872
61,3.939070160964213,15.288401721179788,7.114521625761213,0.04068421888959801,0.040684220877473545,0.040684218147002994,0.04068422667463486,1.0,6.40455184666436e-20,-2231.673020160305,0.043250009991612624,0.09116795194704481,0.0035032688765161218,0.01141368146759817,0.06755207484135212,0.023642223005500913,0.012011207977444899,0.012011208266685202,0.012011207368855806,0.012011207368856833,0.012011207368855682,0.012011207368855381,0.012011207368855433,16.028916045881207,0.040684214265769125,0.04580589548430862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901077264432446,5.715260139371729e-20,0.5596201803706861
62,3.8583962601798705,15.074759286420552,6.96474271560713,0.03860376706933533,0.03860376897144937,0.038603766358810715,0.03860377451849796,1.0,5.956006425423525e-20,-2236.514969496625,0.04113884972694469,0.08762672190098537,0.0032583016255690236,0.011212314564029019,0.057204350250420206,0.023065132507663323,0.011171320237938622,0.01117132051140682,0.011171319662534259,0.011171319662535208,0.011171319662534138,0.011171319662533867,0.011171319662533912,15.87893911436957,0.03860376264502016,0.04376623609019164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9010841628367238,5.3150305490419414e-20,0.5596270519071748
63,3.743810074297858,14.887415789610664,6.752413791144894,0.036629702439629354,0.0366297042592239,0.03662970175989468,0.0366297095656352,1.0,5.538848789804948e-20,-2241.1092767865666,0.03915095077400243,0.08426835085742922,0.0030304637917890494,0.00733844100845155,0.06009789477978724,0.014733331430186071,0.010390161929808815,0.010390162188317469,0.010390161385950112,0.010390161385950995,0.010390161385949994,0.01039016138594974,0.010390161385949781,15.667874544259332,0.036629698207221215,0.04183942203156456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9010910784656567,4.942804976327193e-20,0.5596339406012318
64,3.6897440855344166,14.86354105036103,6.6525725274118335,0.034756584723472386,0.03475658646370734,0.03475658407329051,0.03475659153871395,1.0,5.150875435422781e-20,-2245.4687070134564,0.03725559920333643,0.08135062677200619,0.002818557594936571,0.013362514133559407,0.07719134492197718,0.027795021093791738,0.009663626377906855,0.009663626622230964,0.009663625864018824,0.009663625864019651,0.009663625864018711,0.009663625864018468,0.009663625864018508,15.614581122510131,0.034756580675567646,0.03998294601861783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9010980119212246,4.5966176590603175e-20,0.5596408470524935
65,3.6783190470854636,14.814945610510359,6.63493518770199,0.03297925184100887,0.03297925350497442,0.03297925121921545,0.032979258357591454,1.0,4.7900443721509905e-20,-2249.605242745008,0.0354463519898793,0.07870535472908081,0.0026214690099571995,0.016778721135188676,0.07241590484282052,0.03560896314091799,0.008987894067730522,0.008987894298596491,0.008987893582289573,0.008987893582290336,0.008987893582289463,0.008987893582289233,0.008987893582289266,15.59199852009198,0.03297924797041041,0.03821613296074908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901104961235919,4.274646893235196e-20,0.5596477693011135
66,3.64773360742445,14.75795841141902,6.5795936615488575,0.031292805683481736,0.03129280727418184,0.03129280508895682,0.0312928119131684,1.0,4.454459471588173e-20,-2253.530241097793,0.03372513755511458,0.07605478589761885,0.0024381619103721486,0.014347108858212741,0.07175458663631303,0.03014871372991665,0.008359412565595602,0.008359412783693948,0.008359412107141256,0.008359412107141957,0.008359412107141148,0.00835941210714093,0.008359412107140961,15.527137287501152,0.03129280198320472,0.03654535893798635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011119271722632,3.975201105981524e-20,0.5596547081066456
67,3.624098484503376,14.639074365183268,6.540557254338167,0.02969259861465876,0.029692600135003862,0.029692598046312475,0.029692604568848664,1.0,4.1423600680110116e-20,-2257.254511730491,0.032100200873016536,0.07332029632891446,0.002267672621193976,0.01516424222594952,0.0643875670524074,0.032353856565590554,0.007774877842927136,0.007774878048919053,0.007774877410065916,0.007774877410066564,0.007774877410065816,0.007774877410065608,0.007774877410065639,15.41558473566371,0.029692595077930633,0.03496787657542806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011189096658672,3.696709558976083e-20,0.5596616634049505
68,3.641721938211664,14.708437188689434,6.5776373656007765,0.02817422066252694,0.028174222115343622,0.028174220119315228,0.02817422635228638,1.0,3.852102596982047e-20,-2260.7883673454266,0.030563106146235926,0.0711803137581416,0.002109104852731836,0.019202311789158148,0.08584937749101185,0.040979751766138994,0.007231216906461855,0.007231217100974018,0.0072312164978579506,0.007231216497858544,0.007231216497857856,0.007231216497857659,0.0072312164978576895,15.464996991527332,0.028174217282784044,0.03345043055046039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011259087964933,3.4377059751294706e-20,0.5596686352754804
69,3.6229597987285094,14.813315655551847,6.542189978785328,0.0267334873659573,0.026733488753983903,0.026733486846869353,0.026733492802006254,1.0,3.5821644105316845e-20,-2264.1414708150696,0.029120612934194972,0.06910112594584915,0.001961624988652186,0.01515653854793142,0.08802496715630548,0.0316038687893906,0.0067255716430150835,0.0067255718266458365,0.006725571257392929,0.006725571257393478,0.006725571257392837,0.006725571257392656,0.006725571257392685,15.488513307061693,0.02673348413684191,0.03202251219889238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011329241377233,3.196831936715406e-20,0.559675623293477
