time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
189,0.008915715941407427,0.03601382359836626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00790108968743677,0.0019513959058588958,0.029484201531364117,0.0,4.02032755860221,15.248287750219442,8.707447965251262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93743610678766,0.0,0.005209673049192489,176.92275248434453,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0018879362743261562,0.05280449533799633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007858678631473041,0.002069418586052323,0.029106273441384552,0.0,4.667934399009548,17.21343102661634,10.181734677618747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.290138742546645,0.0,0.005049596006192542,164.7392067732868,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.004167047289568532,0.0475912527037761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007835925672711542,0.0022833913557286875,0.02799495023766518,0.0,4.9601712245859355,16.97377150004064,10.845149951885409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.744809954389755,0.0,0.004820423342363563,162.9482908104182,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.004304935641446677,0.04392560284991386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007824877960017844,0.0020451601791861562,0.030488785166657522,0.0,4.63923129327651,17.06962327900574,10.102624245674741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.52616618878295,0.0,0.005047827069232677,167.32486881869178,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0018714403425136876,0.05410316848775204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007827117417173,0.002143392692311875,0.03254934385102614,0.0,5.07065208711328,17.53127075171309,11.08553488896571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.116340681807806,0.0,0.004954745656859396,161.52097572302722,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.002253651489939729,0.04824757252570894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007732305902859281,0.0021469241396287293,0.03172028287789661,0.0,4.995002626249347,18.185289251947165,10.856636848573066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.40837929863078,0.0,0.0048783816135353235,137.91714596057625,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.007248958974477824,0.026523130880230228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00782469728854401,0.0020377990939297918,0.02905145274956424,0.0,3.518228262831942,15.783114158473458,7.5175092377715655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58474224210296,0.0,0.005083556175314239,153.0471198682259,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.007846930669932197,0.04391243235523997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007766568489458125,0.0022245619497804165,0.032509382668052554,0.0,4.722731104289775,17.77329626681871,10.294151675629553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48674702000929,0.0,0.004836558733434771,153.47845280377388,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0001103334030756771,0.041507181880214274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007901515384125916,0.0021709190896851563,0.031080755766583586,0.0,4.108987056393883,16.796091842070123,8.922816734073468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.522340110671916,0.0,0.005007915376054583,173.7233348341447,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.00045723520370107295,0.04352905596554212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00808354626906827,0.002275019035676969,0.02881349873280546,0.0,3.840978237143108,16.99374875596575,8.32230016949225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10308374128146,0.0,0.005077285791841219,178.40910329465203,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
